Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Joining_Year,Joining_Month,Joining_Day,Gender_Male,Company Type_Service,WFH Setup Available_Yes
2.0,3.0,3.8,0.16,2008,9,30,False,True,False
1.0,2.0,5.0,0.36,2008,11,30,True,True,True
2.0,4.0,5.8,0.49,2008,3,10,False,False,True
1.0,1.0,2.6,0.2,2008,11,3,True,True,True
3.0,7.0,6.9,0.52,2008,7,24,False,True,False
2.0,4.0,3.6,0.29,2008,11,26,True,False,True
3.0,6.0,7.9,0.62,2008,1,2,False,True,False
2.0,4.0,4.4,0.33,2008,10,31,False,True,True
3.0,6.0,5.9,0.56,2008,12,27,False,True,False
3.0,6.0,5.9,0.67,2008,3,9,False,False,False
2.0,3.0,5.3,0.5,2008,3,16,True,False,True
0.0,1.0,1.8,0.12,2008,5,12,True,True,True
2.0,5.0,5.9,0.4,2008,1,20,True,True,True
1.0,3.0,5.9,0.33,2008,2,23,False,False,False
1.0,3.0,5.8,0.51,2008,5,14,True,False,True
3.0,5.0,4.7,0.32,2008,2,3,False,True,True
1.0,2.0,5.9,0.39,2008,3,17,True,True,True
3.0,6.0,6.7,0.59,2008,3,28,True,True,False
2.0,4.0,4.0,0.22,2008,5,29,False,False,True
3.0,5.0,5.9,0.68,2008,6,27,False,True,False
2.0,4.0,7.6,0.57,2008,8,31,True,False,False
1.0,3.0,6.3,0.47,2008,1,15,True,True,True
1.0,3.0,6.7,0.46,2008,5,4,True,True,True
3.0,4.0,7.7,0.61,2008,11,17,False,False,True
3.0,8.0,5.9,0.91,2008,9,14,False,True,False
3.0,4.0,5.8,0.4,2008,10,9,False,True,True
2.0,4.0,6.6,0.44,2008,10,11,True,True,False
2.0,4.0,7.4,0.6,2008,9,18,False,True,False
2.0,5.0,6.7,0.46,2008,9,16,False,True,False
2.0,4.0,5.9,0.45,2008,11,26,False,True,True
1.0,2.0,3.6,0.2,2008,5,12,False,False,True
1.0,2.0,3.9,0.2,2008,12,16,False,True,True
0.0,1.0,3.0,0.19,2008,10,11,False,True,False
1.0,3.0,4.7,0.31,2008,3,10,True,True,False
4.0,8.0,8.7,0.81,2008,5,3,True,False,False
3.0,5.0,4.4,0.39,2008,8,4,True,True,True
3.0,6.0,5.8,0.42,2008,7,31,False,True,True
0.0,2.0,3.9,0.19,2008,6,17,False,False,True
3.0,7.0,6.6,0.56,2008,4,28,False,True,True
4.0,7.0,7.3,0.53,2008,10,30,False,True,False
3.0,5.0,5.9,0.5,2008,2,27,False,True,True
1.0,3.0,5.4,0.33,2008,6,22,False,False,True
2.0,5.0,5.0,0.45,2008,2,18,True,True,False
2.0,3.0,6.0,0.36,2008,6,24,False,True,True
3.0,6.0,7.5,0.59,2008,12,8,False,True,True
4.0,10.0,10.0,0.94,2008,4,11,True,True,False
3.0,4.0,7.7,0.61,2008,8,9,False,False,False
1.0,3.0,6.0,0.37,2008,8,28,False,False,True
2.0,6.0,7.4,0.65,2008,3,21,True,True,False
2.0,5.0,6.4,0.49,2008,7,22,False,True,True
1.0,3.0,5.6,0.38,2008,1,23,True,True,True
2.0,5.0,7.4,0.62,2008,10,9,True,False,False
3.0,5.0,6.1,0.39,2008,9,10,False,False,True
2.0,4.0,3.1,0.15,2008,5,26,False,False,True
2.0,5.0,8.0,0.61,2008,12,22,True,True,False
